Avg_Temp,Brooklyn_B,Total_Crossings
72.05,1704.0,11497
51.95,827.0,6922
36.95,526.0,4759
38.6,521.0,4335
34.1,1416.0,9471
37.5,1885.0,11919
55.05,1276.0,9596
45.5,1982.0,12744
40.45,504.0,4510
39.9,1447.0,9126
54.05,2005.0,13312
51.0,1045.0,8067
48.45,2840.0,18422
53.35,2861.0,18315
54.05,2770.0,17570
55.5,2384.0,16375
59.95,3147.0,18180
66.5,3871.0,23090
67.05,3501.0,23318
59.0,3450.0,22591
60.55,3436.0,22127
70.55,2975.0,17837
65.5,2055.0,13426
58.0,2798.0,16740
60.45,3463.0,20850
53.5,1997.0,13005
54.5,3343.0,19914
52.95,2486.0,15631
51.95,2375.0,14954
56.0,3199.0,17432
72.05,1704.0,11497
51.95,827.0,6922
36.95,526.0,4759
38.6,521.0,4335
34.1,1416.0,9471
37.5,1885.0,11919
55.05,1276.0,9596
45.5,1982.0,12744
40.45,504.0,4510
39.9,1447.0,9126
54.05,2005.0,13312
51.0,1045.0,8067
48.45,2840.0,18422
53.35,2861.0,18315
54.05,2770.0,17570
55.5,2384.0,16375
59.95,3147.0,18180
66.5,3871.0,23090
67.05,3501.0,23318
59.0,3450.0,22591
60.55,3436.0,22127
70.55,2975.0,17837
65.5,2055.0,13426
58.0,2798.0,16740
60.45,3463.0,20850
53.5,1997.0,13005
54.5,3343.0,19914
52.95,2486.0,15631
51.95,2375.0,14954
56.0,3199.0,17432
72.05,1704.0,11497
51.95,827.0,6922
36.95,526.0,4759
38.6,521.0,4335
34.1,1416.0,9471
37.5,1885.0,11919
55.05,1276.0,9596
45.5,1982.0,12744
40.45,504.0,4510
39.9,1447.0,9126
54.05,2005.0,13312
51.0,1045.0,8067
48.45,2840.0,18422
53.35,2861.0,18315
54.05,2770.0,17570
55.5,2384.0,16375
59.95,3147.0,18180
66.5,3871.0,23090
67.05,3501.0,23318
59.0,3450.0,22591
60.55,3436.0,22127
70.55,2975.0,17837
65.5,2055.0,13426
58.0,2798.0,16740
60.45,3463.0,20850
53.5,1997.0,13005
54.5,3343.0,19914
52.95,2486.0,15631
51.95,2375.0,14954
56.0,3199.0,17432
72.05,1704.0,11497
51.95,827.0,6922
36.95,526.0,4759
38.6,521.0,4335
34.1,1416.0,9471
37.5,1885.0,11919
55.05,1276.0,9596
45.5,1982.0,12744
40.45,504.0,4510
39.9,1447.0,9126
54.05,2005.0,13312
51.0,1045.0,8067
48.45,2840.0,18422
53.35,2861.0,18315
54.05,2770.0,17570
55.5,2384.0,16375
59.95,3147.0,18180
66.5,3871.0,23090
67.05,3501.0,23318
59.0,3450.0,22591
60.55,3436.0,22127
70.55,2975.0,17837
65.5,2055.0,13426
58.0,2798.0,16740
60.45,3463.0,20850
53.5,1997.0,13005
54.5,3343.0,19914
52.95,2486.0,15631
51.95,2375.0,14954
56.0,3199.0,17432
72.05,1704.0,11497
51.95,827.0,6922
36.95,526.0,4759
38.6,521.0,4335
34.1,1416.0,9471
37.5,1885.0,11919
55.05,1276.0,9596
45.5,1982.0,12744
40.45,504.0,4510
39.9,1447.0,9126
54.05,2005.0,13312
51.0,1045.0,8067
48.45,2840.0,18422
53.35,2861.0,18315
54.05,2770.0,17570
55.5,2384.0,16375
59.95,3147.0,18180
66.5,3871.0,23090
67.05,3501.0,23318
59.0,3450.0,22591
60.55,3436.0,22127
70.55,2975.0,17837
65.5,2055.0,13426
58.0,2798.0,16740
60.45,3463.0,20850
53.5,1997.0,13005
54.5,3343.0,19914
52.95,2486.0,15631
51.95,2375.0,14954
56.0,3199.0,17432
72.05,1704.0,11497
51.95,827.0,6922
36.95,526.0,4759
38.6,521.0,4335
34.1,1416.0,9471
37.5,1885.0,11919
55.05,1276.0,9596
45.5,1982.0,12744
40.45,504.0,4510
39.9,1447.0,9126
54.05,2005.0,13312
51.0,1045.0,8067
48.45,2840.0,18422
53.35,2861.0,18315
54.05,2770.0,17570
55.5,2384.0,16375
59.95,3147.0,18180
66.5,3871.0,23090
67.05,3501.0,23318
59.0,3450.0,22591
60.55,3436.0,22127
70.55,2975.0,17837
65.5,2055.0,13426
58.0,2798.0,16740
60.45,3463.0,20850
53.5,1997.0,13005
54.5,3343.0,19914
52.95,2486.0,15631
51.95,2375.0,14954
56.0,3199.0,17432
72.05,1704.0,11497
51.95,827.0,6922
36.95,526.0,4759
38.6,521.0,4335
34.1,1416.0,9471
37.5,1885.0,11919
55.05,1276.0,9596
45.5,1982.0,12744
40.45,504.0,4510
39.9,1447.0,9126
54.05,2005.0,13312
51.0,1045.0,8067
48.45,2840.0,18422
53.35,2861.0,18315
54.05,2770.0,17570
55.5,2384.0,16375
59.95,3147.0,18180
66.5,3871.0,23090
67.05,3501.0,23318
59.0,3450.0,22591
60.55,3436.0,22127
70.55,2975.0,17837
65.5,2055.0,13426
58.0,2798.0,16740
60.45,3463.0,20850
53.5,1997.0,13005
54.5,3343.0,19914
52.95,2486.0,15631
51.95,2375.0,14954
56.0,3199.0,17432
